n,filename,camera,period,heuristic,golden
1,imgKFB_231104_0000.jpg,KFB,night,not_inside,not_inside
2,imgKFB_230401_0300.jpg,KFB,night,inside_cloud,not_inside
3,imgKFB_230111_1100.jpg,KFB,day,inside_cloud,inside_cloud
4,imgKFB_230309_1800.jpg,KFB,day,not_inside,not_inside
5,imgKFB_230917_0700.jpg,KFB,day,inside_cloud,inside_cloud
6,imgKFB_230206_0300.jpg,KFB,night,not_inside,inside_cloud
7,imgKFB_230816_1900.jpg,KFB,day,not_inside,not_inside
8,imgKFB_230209_0300.jpg,KFB,night,inside_cloud,inside_cloud
9,imgKFB_230914_0500.jpg,KFB,night,inside_cloud,inside_cloud
10,imgKFB_230605_0600.jpg,KFB,day,not_inside,inside_cloud
11,imgKFB_230112_0800.jpg,KFB,day,inside_cloud,inside_cloud
12,imgKFB_230307_1900.jpg,KFB,night,not_inside,not_inside
13,imgKFB_230319_2100.jpg,KFB,night,inside_cloud,not_inside
14,imgKFB_230111_1000.jpg,KFB,day,inside_cloud,inside_cloud
15,imgKFB_230426_0600.jpg,KFB,day,not_inside,not_inside
16,imgKFB_230212_1100.jpg,KFB,day,inside_cloud,inside_cloud
17,imgKFB_230425_1300.jpg,KFB,day,not_inside,inside_cloud
18,imgKFB_230326_0400.jpg,KFB,night,inside_cloud,inside_cloud
19,imgKFB_230312_1600.jpg,KFB,day,not_inside,not_inside
20,imgKFB_230402_1100.jpg,KFB,day,inside_cloud,inside_cloud
21,imgKFB_230112_2100.jpg,KFB,night,inside_cloud,inside_cloud
22,imgKFB_230425_1000.jpg,KFB,day,not_inside,inside_cloud
23,imgKFB_231018_1300.jpg,KFB,day,inside_cloud,inside_cloud
24,imgKFB_230817_0300.jpg,KFB,night,not_inside,not_inside
25,imgKFB_230515_0700.jpg,KFB,day,not_inside,inside_cloud
26,imgKFB_230711_0600.jpg,KFB,day,not_inside,not_inside
27,imgKFB_230326_1300.jpg,KFB,day,inside_cloud,inside_cloud
28,imgKFB_230315_0800.jpg,KFB,day,inside_cloud,not_inside
29,imgKFB_230128_1900.jpg,KFB,night,not_inside,not_inside
30,imgKFB_230814_1700.jpg,KFB,day,not_inside,not_inside
31,imgKFB_230331_0200.jpg,KFB,night,inside_cloud,inside_cloud
32,imgKFB_230526_0700.jpg,KFB,day,inside_cloud,inside_cloud
33,imgKFB_230402_1600.jpg,KFB,day,inside_cloud,inside_cloud
34,imgKFB_230602_0600.jpg,KFB,day,not_inside,not_inside
35,imgKFB_230320_2200.jpg,KFB,night,not_inside,not_inside
36,imgKFB_230421_2200.jpg,KFB,night,not_inside,not_inside
37,imgKFB_230508_1000.jpg,KFB,day,not_inside,inside_cloud
38,imgKFB_230714_2200.jpg,KFB,night,not_inside,not_inside
39,imgKFB_230201_1700.jpg,KFB,day,not_inside,not_inside
40,imgKFB_230429_0800.jpg,KFB,day,not_inside,inside_cloud
41,imgKFB_230907_1500.jpg,KFB,day,inside_cloud,inside_cloud
42,imgKFB_230411_0500.jpg,KFB,night,inside_cloud,not_inside
43,imgKFB_230304_2100.jpg,KFB,night,not_inside,not_inside
44,imgKFB_231014_0000.jpg,KFB,night,not_inside,not_inside
